frame,keyword,character
1141,dig,掘
1142,ditch,堀
1143,reside,居
1144,set,据
1145,hem,裾
1146,stratum,層
1147,bureau,局
1148,slow,遅
1149,leak,漏
1150,printing,刷
1151,shaku,尺
1152,exhaust,尽
1153,swamp,沢
1154,translate,訳
1155,choose,択
1156,daytime,昼
1157,door,戸
1158,shoulder,肩
1159,tassel,房
1160,fan,扇
1161,hearth,炉
1162,re-,戻
1163,tears,涙
1164,employ,雇
1165,look back,顧
1166,disclose,啓
1167,show,示
1168,salutation,礼
1169,auspicious,祥
1170,celebrate,祝
1171,blessing,福
1172,welfare,祉
1173,company,社
1174,inspection,視
1175,Nara,奈
1176,military officer,尉
1177,consolation,慰
1178,goodwill,款
1179,prohibition,禁
1180,collar,襟
1181,religion,宗
1182,adore,崇
1183,ritual,祭
1184,guess,察
1185,grate,擦
1186,wherefore,由
1187,pluck,抽
1188,oil,油
1189,sleeve,袖
1190,mid-air,宙
1191,deliver,届
1192,flute,笛
1193,axis,軸
1194,armor,甲
1195,push,押
1196,headland,岬
1197,insert,挿
1198,speaketh,申
1199,expand,伸
1200,gods,神
1201,search,捜
1202,fruit,果
1203,confectionary,菓
1204,chapter,課
1205,naked,裸
1206,ax,斤
1207,chop,析
1208,place,所
1209,pray,祈
1210,near,近
1211,fold,折
1212,philosophy,哲
1213,departed,逝
1214,vow,誓
1215,chop off,斬
1216,temporarily,暫
1217,steadily,漸
1218,severance,断
1219,substance,質
1220,reject,斥
1221,accusation,訴
1222,yesterday,昨
1223,lie,詐
1224,make,作
1225,snow,雪
1226,record,録
1227,peel off,剥 剝
1228,inquire,尋
1229,hurry,急
1230,calm,穏
1231,encroach,侵
1232,immersed,浸
1233,lie down,寝
1234,lady,婦
1235,sweep,掃
1236,hit,当
1237,glossary,彙
1238,contend,争
1239,clean,浄
1240,matter,事
1241,T'ang,唐
1242,sugar,糖
1243,sane,康
1244,apprehend,逮
1245,Italy,伊
1246,old boy,君
1247,flock,群
1248,-proof,耐
1249,demand,需
1250,Confucian,儒
1251,edge,端
1252,both,両
1253,full,満
1254,brush-stroke,画
1255,tooth,歯
1256,bend,曲
1257,cadet,曹
1258,encounter,遭
1259,rowing,漕
1260,vat,槽
1261,Big Dipper,斗
1262,fee,料
1263,department,科
1264,map,図
1265,utilize,用
1266,comfortable,庸
1267,equip,備
1268,once upon a time,昔
1269,confused,錯
1270,borrow,借
1271,pity,惜
1272,set aside,措
1273,scatter,散
1274,twenty,廿
1275,commoner,庶
1276,intercept,遮
1277,seat,席
1278,degrees,度
1279,transit,渡
1280,bustle,奔
1281,erupt,噴
1282,tomb,墳
1283,aroused,憤
1284,bake,焼
1285,daybreak,暁
1286,half,半
1287,consort,伴
1288,paddy ridge,畔
1289,judgment,判
1290,fist,拳
1291,ticket,券
1292,scroll,巻
1293,sphere,圏
1294,victory,勝
1295,wisteria,藤
1296,facsimilie,謄
1297,one-sided,片
1298,printing block,版
1299,of,之
1300,destitution,乏
1301,turf,芝
1302,negative,不
1303,negate,否
1304,cupfuls,杯
1305,dart,矢
1306,rectify,矯
1307,tribe,族
1308,know,知
1309,wisdom,智
1310,shove,挨
1311,halberd,矛
1312,tender,柔
1313,task,務
1314,fog,霧
1315,squad,班
1316,homecoming,帰
1317,bow,弓
1318,pull,引
1319,condolences,弔
1320,vast,弘
1321,strong,強
1322,more and more,弥
1323,weak,弱
1324,drowning,溺
1325,seethe,沸
1326,expense,費
1327,No.,第
1328,younger brother,弟
1329,adroit,巧
1330,nickname,号
1331,decay,朽
1332,boast,誇
1333,chin,顎
1334,dirty,汚
1335,bestow,与
1336,copy,写
